name,merchant_abn,revenue_level,take_rate,industry_tags,MappedIndustry
Commodo Auctor Velit Corporation,58409055337,d,1.34,bicycle,Y
Duis Limited,58420836090,b,3.14,art dealers galleries,L
Diam At Foundation,58454491168,a,6.01,computer programming data processing integrated systems design,C
Vestibulum Mauris Corp.,58459771721,c,1.77,shoe,B
Mauris Blandit Foundation,58476363584,a,6.49,watch clock jewelry repair,V
Diam Nunc Associates,58495294020,b,3.98,jewelry watch clock silverware,A
Rutrum Lorem Inc.,58596147982,a,5.51,stationery office printing writing paper,D
Ut Nec Urna PC,58680132589,c,1.85,art dealers galleries,L
Pharetra Sed LLC,58688453868,b,4.4,digital goods books movies music,F
Eget Incorporated,58715026442,a,6.1,shoe,B
Scelerisque LLP,58727332026,a,6.28,artist supply craft,E
Aliquam LLC,58729395250,b,4.78,hobby toy game,O
Non Lobortis Corporation,58741105428,e,0.36,computer programming data processing integrated systems design,C
Semper Limited,58776930712,a,6.78,gift card novelty souvenir,P
Tortor Integer Aliquam Incorporated,58786009971,a,6.8,motor vehicle new parts,H
Fusce Aliquet Incorporated,58812213085,c,2.2,opticians optical goods eyeglasses,I
Enim PC,58825561585,c,2.53,gift card novelty souvenir,P
Mauris Id Ltd,58825694998,a,6.34,furniture home furnishings equipment manufacturers except appliances,T
Torquent Per Ltd,58835628923,c,2.5,books periodicals newspapers,G
Eget Mollis Lectus Inc.,58866359477,b,3.33,furniture home furnishings equipment manufacturers except appliances,T
Magna Duis Dignissim Corp.,58869593769,a,6.21,lawn garden supply outlets including nurseries,W
Vel Turpis Company,58870269317,c,2.99,computers computer peripheral equipment software,J
Orci Luctus Et Industries,58881822825,a,5.93,computer programming data processing integrated systems design,C
Lobortis Risus LLP,58895707108,b,4.53,motor vehicle new parts,H
Sed Auctor Odio PC,58899084497,c,1.92,telecom,Q
Sodales Mauris Company,58913632134,c,1.5,watch clock jewelry repair,V
Dictum Eu Corp.,58966366292,d,0.57,furniture home furnishings equipment manufacturers except appliances,T
Diam Dictum Consulting,58977869394,b,5.01,equipment tool furniture appliance rent al leasing,S
Augue Ut Lacus Foundation,59039508122,c,3.0,jewelry watch clock silverware,A
Dolor Nulla Ltd,59067200778,a,5.55,digital goods books movies music,F
Velit Aliquam Foundation,59079680636,a,5.68,art dealers galleries,L
Ut Tincidunt Foundation,59128133246,a,6.3,opticians optical goods eyeglasses,I
Risus Donec Egestas Corporation,59140301134,a,6.85,lawn garden supply outlets including nurseries,W
Magna Ut Incorporated,59153557367,a,6.8,bicycle,Y
Ante Dictum LLC,59162205130,c,1.47,motor vehicle new parts,H
Malesuada PC,59190126409,a,6.87,florists nursery stock flowers,U
Ullamcorper Ltd,59248738261,c,2.8,equipment tool furniture appliance rent al leasing,S
Sodales Elit PC,59274084898,c,2.01,telecom,Q
Pede Suspendisse Institute,59288709135,b,3.74,health beauty spas,N
Donec Fringilla Associates,59329605791,b,4.97,gift card novelty souvenir,P
Semper Auctor Mauris Corp.,59331766724,b,4.67,music musical instruments pianos sheet music,M
Suspendisse Tristique Associates,59335427001,b,4.32,motor vehicle new parts,H
Lacinia Orci Associates,59358011432,e,0.24,digital goods books movies music,F
Est Ac Ltd,59366832940,a,6.9,stationery office printing writing paper,D
Ac Mi Eleifend Limited,59417171491,b,3.28,equipment tool furniture appliance rent al leasing,S
Phasellus Dapibus Corporation,59450324455,b,4.84,motor vehicle new parts,H
Eu Corp.,59468928008,b,4.31,books periodicals newspapers,G
Amet Orci Ut LLP,59477140425,b,3.92,health beauty spas,N
Phasellus Elit Consulting,59547553329,a,6.1,florists nursery stock flowers,U
Magna Phasellus Foundation,59581212604,c,1.75,motor vehicle new parts,H
Adipiscing Non LLP,59589609053,c,2.22,antique repairs restoration,R
Vitae Orci Phasellus LLP,59614227972,b,3.72,lawn garden supply outlets including nurseries,W
Mauris Corporation,59615752944,b,3.86,stationery office printing writing paper,D
Id Ante Institute,59658193201,a,6.16,cable satellite pay television radio,K
Lacus Vestibulum Associates,59659309503,c,2.94,telecom,Q
Sem Foundation,59737558413,a,6.12,tent awning,X
Ultrices Mauris Foundation,59739116052,b,4.0,lawn garden supply outlets including nurseries,W
Tempus PC,59853422669,b,3.79,shoe,B
Velit Associates,59873499253,b,4.85,watch clock jewelry repair,V
Pellentesque Tincidunt Associates,59962058395,d,1.31,florists nursery stock flowers,U
Dictum Corp.,59965794726,a,6.39,health beauty spas,N
Non Corporation,59969380468,b,4.18,music musical instruments pianos sheet music,M
Eleifend Vitae Erat Corporation,60023412760,a,6.22,music musical instruments pianos sheet music,M
Libero Integer Industries,60050955776,a,6.55,artist supply craft,E
Aliquet Vel Vulputate Ltd,60061618643,a,6.94,computer programming data processing integrated systems design,C
Enim Mi Institute,60061691817,a,6.81,artist supply craft,E
Lacinia Corp.,60070647768,c,1.92,artist supply craft,E
Tellus Faucibus Associates,60072023557,b,4.57,computer programming data processing integrated systems design,C
Blandit Congue Ltd,60090918663,c,2.99,shoe,B
Imperdiet Non LLC,60111071436,a,6.84,cable satellite pay television radio,K
Nec Tempus Inc.,60121698774,a,5.52,lawn garden supply outlets including nurseries,W
Non Massa Non Institute,60123474601,b,4.7,art dealers galleries,L
In Institute,60150317439,a,6.06,watch clock jewelry repair,V
Amet Ornare Company,60152133722,a,6.08,opticians optical goods eyeglasses,I
Ac Fermentum Associates,60196678179,d,0.9,stationery office printing writing paper,D
Adipiscing Industries,60240099150,a,5.99,shoe,B
Placerat Velit LLP,60318067173,b,5.1,shoe,B
Sed Pharetra Felis PC,60321593978,b,3.49,computer programming data processing integrated systems design,C
Sed Nulla Ante PC,60403857139,b,3.56,lawn garden supply outlets including nurseries,W
Risus At Corp.,60421951083,b,4.92,bicycle,Y
Vitae Corp.,60429241521,b,4.17,opticians optical goods eyeglasses,I
Mattis Limited,60462729568,a,6.13,lawn garden supply outlets including nurseries,W
Consequat Purus Industries,60470122582,b,4.95,telecom,Q
Phasellus Nulla Incorporated,60470829287,b,3.41,cable satellite pay television radio,K
Ipsum Cursus LLP,60539272146,d,0.81,antique repairs restoration,R
Arcu Limited,60573599765,a,6.91,furniture home furnishings equipment manufacturers except appliances,T
Sagittis Duis Gravida Incorporated,60602272553,b,4.93,opticians optical goods eyeglasses,I
Tortor At Ltd,60616659469,b,3.97,artist supply craft,E
Non Enim Foundation,60641607697,b,3.69,art dealers galleries,L
Hendrerit Donec Porttitor Inc.,60646270419,b,3.82,lawn garden supply outlets including nurseries,W
Integer LLC,60650953328,a,5.97,shoe,B
Lacus Quisque Imperdiet Institute,60654402457,b,3.52,digital goods books movies music,F
Gravida Praesent Corp.,60706491699,b,4.24,health beauty spas,N
Suspendisse Sagittis Incorporated,60714620509,a,5.74,health beauty spas,N
Ut Associates,60778762062,c,2.61,tent awning,X
Auctor Velit Consulting,60813622669,a,6.67,computer programming data processing integrated systems design,C
Malesuada Vel Venenatis Foundation,60821630269,a,6.37,gift card novelty souvenir,P
Tellus Imperdiet Non Inc.,60829135130,d,1.18,equipment tool furniture appliance rent al leasing,S
Montes Nascetur Institute,60836029312,a,6.27,opticians optical goods eyeglasses,I
Fusce Mollis Duis Incorporated,60876187134,a,5.55,shoe,B
Consequat Dolor PC,60876328805,c,2.24,motor vehicle new parts,H
Feugiat Non PC,60922283533,a,6.64,motor vehicle new parts,H
Ultricies Dignissim LLP,60956456424,b,4.69,gift card novelty souvenir,P
In Felis LLP,60963420870,b,4.17,stationery office printing writing paper,D
Dui Augue Consulting,60975088321,a,6.78,shoe,B
Lobortis Tellus Corp.,60978195146,c,1.44,shoe,B
Mauris Rhoncus LLP,61050921768,b,4.78,bicycle,Y
Aliquam Nec Enim PC,61060163427,b,3.67,florists nursery stock flowers,U
Lobortis Ultrices LLC,61080648284,a,6.5,artist supply craft,E
Vestibulum Mauris Institute,61085944703,a,6.45,telecom,Q
Vel Lectus Cum LLC,61112604295,c,1.7,equipment tool furniture appliance rent al leasing,S
Dis Parturient Montes Corporation,61213731974,a,5.99,bicycle,Y
Arcu Vel PC,61238934884,a,6.04,cable satellite pay television radio,K
Turpis Inc.,61242800720,b,3.39,cable satellite pay television radio,K
Facilisis Corporation,61243536058,c,1.94,bicycle,Y
Ipsum Primis In Corporation,61310985405,a,6.61,telecom,Q
Ligula Nullam LLP,61333423388,b,4.49,hobby toy game,O
Et Magnis Company,61335088393,b,4.92,shoe,B
Fusce Diam Limited,61376261291,a,6.76,furniture home furnishings equipment manufacturers except appliances,T
Tempor Inc.,61412665910,c,1.75,furniture home furnishings equipment manufacturers except appliances,T
Mollis Dui In LLP,61447419161,c,2.06,gift card novelty souvenir,P
Egestas Rhoncus Proin Inc.,61481587663,b,4.08,tent awning,X
Ipsum Suspendisse PC,61547674285,d,0.62,stationery office printing writing paper,D
Quis Urna Consulting,61562383191,a,6.27,florists nursery stock flowers,U
Blandit At Nisi PC,61569154734,a,5.78,tent awning,X
In Mi Institute,61619924340,c,2.83,shoe,B
Nam Interdum Enim Corporation,61634218640,c,2.86,furniture home furnishings equipment manufacturers except appliances,T
Tincidunt Nunc Institute,61639583117,b,3.72,motor vehicle new parts,H
Nulla At Sem Corp.,61675439608,c,2.97,art dealers galleries,L
Elit Pharetra PC,61728854460,a,5.71,computers computer peripheral equipment software,J
Scelerisque Neque Nullam Ltd,61745157507,c,2.86,books periodicals newspapers,G
Integer Vulputate Foundation,61766463985,a,6.43,health beauty spas,N
Nunc Mauris Elit Corp.,61812192237,c,1.84,stationery office printing writing paper,D
Nunc Pulvinar Arcu Foundation,61813633430,a,6.89,shoe,B
Turpis In Incorporated,61845622676,c,2.48,gift card novelty souvenir,P
Pharetra Felis Limited,61867784114,c,1.68,motor vehicle new parts,H
Vitae Erat Vivamus LLP,61910841091,a,6.13,antique repairs restoration,R
Pede Cras Corp.,61939167097,b,4.66,motor vehicle new parts,H
Fringilla Mi Lacinia Incorporated,61941120453,a,5.55,telecom,Q
Lorem Ipsum Industries,61958699237,a,5.63,furniture home furnishings equipment manufacturers except appliances,T
Ante Ipsum Ltd,61968317984,e,0.4,motor vehicle new parts,H
A Ltd,61991570212,a,6.18,tent awning,X
Mauris Erat Ltd,61997656782,b,4.4,motor vehicle new parts,H
Aliquet Magna A Ltd,62009586337,b,4.78,cable satellite pay television radio,K
Arcu Vivamus Ltd,62015733331,b,3.78,furniture home furnishings equipment manufacturers except appliances,T
Cras Sed Leo Foundation,62029309613,a,5.65,computer programming data processing integrated systems design,C
Augue Inc.,62040991164,b,4.96,cable satellite pay television radio,K
Nec Mauris Blandit Foundation,62069676741,a,5.73,equipment tool furniture appliance rent al leasing,S
Aliquet Libero Corporation,62074083335,a,6.76,computer programming data processing integrated systems design,C
Tempor Limited,62100554322,a,6.28,books periodicals newspapers,G
Pede Corp.,62135501337,a,6.32,health beauty spas,N
Volutpat Nunc Sit Institute,62170730910,b,3.8,gift card novelty souvenir,P
Cursus Non Egestas Foundation,62191208634,c,2.17,furniture home furnishings equipment manufacturers except appliances,T
Vel Institute,62204398944,a,6.79,bicycle,Y
Hendrerit A Corporation,62224020443,a,6.64,watch clock jewelry repair,V
Imperdiet Ltd,62241198510,b,5.0,opticians optical goods eyeglasses,I
Iaculis Inc.,62249204345,a,5.58,health beauty spas,N
Dignissim Lacus Corporation,62285108846,d,0.59,gift card novelty souvenir,P
Phasellus Vitae Corporation,62346852889,c,1.93,hobby toy game,O
Euismod Ac Corp.,62363832078,a,6.66,furniture home furnishings equipment manufacturers except appliances,T
Et Rutrum Associates,62368259299,a,6.41,motor vehicle new parts,H
Vitae Purus Industries,62379298278,a,5.99,shoe,B
Sagittis PC,62381947723,c,2.06,lawn garden supply outlets including nurseries,W
Morbi Limited,62403837535,a,6.46,digital goods books movies music,F
Tempus Scelerisque Lorem PC,62422038748,c,1.64,equipment tool furniture appliance rent al leasing,S
Rhoncus Id Institute,62464051354,a,5.55,motor vehicle new parts,H
Est Ac LLC,62464569593,d,1.06,digital goods books movies music,F
Nec PC,62483383956,a,6.27,motor vehicle new parts,H
Convallis Est Ltd,62499158977,a,5.7,florists nursery stock flowers,U
Non Feugiat Nec LLC,62580273150,a,6.41,music musical instruments pianos sheet music,M
Mi Lacinia Mattis Corporation,62583219931,a,5.5,bicycle,Y
Nec Imperdiet Company,62596784370,c,2.28,music musical instruments pianos sheet music,M
Tellus Phasellus Industries,62607401721,a,6.26,tent awning,X
Lobortis Nisi Associates,62688594508,d,0.88,jewelry watch clock silverware,A
Cum Sociis Company,62692834922,a,6.43,telecom,Q
Vel Est Tempor LLP,62694031334,a,5.76,computers computer peripheral equipment software,J
Gravida Sagittis Institute,62708477486,b,4.51,antique repairs restoration,R
Volutpat Ornare LLP,62711420968,b,3.86,gift card novelty souvenir,P
Cras Lorem Lorem Limited,62735494616,a,6.92,health beauty spas,N
Vel Venenatis Vel Consulting,62739118502,b,4.5,equipment tool furniture appliance rent al leasing,S
Auctor Vitae Aliquet Foundation,62743415502,c,2.42,health beauty spas,N
Ac Institute,62773208456,c,2.62,watch clock jewelry repair,V
Dolor Foundation,62774554856,a,6.8,opticians optical goods eyeglasses,I
Posuere At Velit Incorporated,62787106107,c,2.87,tent awning,X
Pede Ac Urna LLP,62807084929,c,2.17,computers computer peripheral equipment software,J
Sollicitudin A Industries,62818707868,a,5.74,tent awning,X
Nibh Quisque Institute,62854571289,c,2.72,antique repairs restoration,R
Sem PC,62924351636,a,5.73,telecom,Q
Non Foundation,62940816804,b,3.8,equipment tool furniture appliance rent al leasing,S
Quis LLC,62981190818,a,6.76,computers computer peripheral equipment software,J
Eu Neque Pellentesque Ltd,62981771325,b,4.0,motor vehicle new parts,H
Luctus Aliquet Corporation,63032122101,a,5.81,watch clock jewelry repair,V
Donec Dignissim Associates,63036541291,b,3.8,cable satellite pay television radio,K
Mollis Vitae LLC,63071746690,a,6.93,opticians optical goods eyeglasses,I
Aliquet Consulting,63105795563,a,5.94,artist supply craft,E
Odio Phasellus Institute,63123845164,a,6.59,artist supply craft,E
Arcu Ac Orci Ltd,63214122543,a,6.2,hobby toy game,O
Diam At Pretium Inc.,63265918828,a,6.33,opticians optical goods eyeglasses,I
Cras Pellentesque Sed Corp.,63275985428,a,6.22,florists nursery stock flowers,U
Maecenas Libero Est Inc.,63286055458,a,6.52,hobby toy game,O
Vehicula Pellentesque Corporation,63290521567,a,6.48,artist supply craft,E
Lacus Varius Et Consulting,63300242141,c,1.62,digital goods books movies music,F
Aliquam Rutrum Industries,63307448428,b,5.05,opticians optical goods eyeglasses,I
Nulla Facilisis Suspendisse LLP,63358217962,c,3.0,florists nursery stock flowers,U
Nunc Mauris LLC,63360290524,a,6.72,tent awning,X
Duis Cursus Inc.,63408991537,a,6.74,computer programming data processing integrated systems design,C
Eget Magna Corp.,63419471661,b,5.07,equipment tool furniture appliance rent al leasing,S
Penatibus Industries,63433167613,c,1.97,music musical instruments pianos sheet music,M
Vestibulum Lorem Corp.,63442187477,b,3.41,hobby toy game,O
Cras Vehicula Aliquet Consulting,63453073175,a,6.15,gift card novelty souvenir,P
Felis Ullamcorper Viverra LLP,63461436707,a,5.57,watch clock jewelry repair,V
Vitae Odio Limited,63465140133,b,3.68,digital goods books movies music,F
Eget Massa Ltd,63469048699,a,6.2,music musical instruments pianos sheet music,M
Risus Nunc Ac Corporation,63470567616,c,1.54,florists nursery stock flowers,U
Neque Non Company,63491526748,a,6.74,computer programming data processing integrated systems design,C
Parturient Montes Nascetur Limited,63523606379,a,6.8,tent awning,X
Tempus Institute,63549078265,a,6.01,artist supply craft,E
Proin Velit LLP,63549963476,a,6.01,florists nursery stock flowers,U
Augue Eu Tempor Associates,63685007785,e,0.38,cable satellite pay television radio,K
Mauris Integer Sem Foundation,63710240186,c,3.09,motor vehicle new parts,H
Lobortis Ultrices Ltd,63728747020,a,5.73,gift card novelty souvenir,P
Odio Etiam Company,63734543365,c,3.06,books periodicals newspapers,G
Vel Associates,63735907565,c,1.55,bicycle,Y
Nullam Lobortis Quam PC,63740885149,c,1.46,books periodicals newspapers,G
Mauris Molestie Industries,63789206880,a,5.96,opticians optical goods eyeglasses,I
Vitae Semper Egestas Institute,63796115293,a,5.78,books periodicals newspapers,G
A Felis Ullamcorper Industries,63817709749,b,4.4,books periodicals newspapers,G
Auctor Corp.,63818670309,a,5.71,watch clock jewelry repair,V
Consequat Nec Corp.,63826476372,b,4.57,health beauty spas,N
Amet Lorem Consulting,63830011067,a,5.68,gift card novelty souvenir,P
Morbi Accumsan LLC,63861708370,b,3.45,computer programming data processing integrated systems design,C
Habitant Inc.,63862862264,a,5.74,motor vehicle new parts,H
Massa Mauris Corporation,63907965541,c,1.69,art dealers galleries,L
Ac Metus Vitae Company,63937753588,b,4.17,furniture home furnishings equipment manufacturers except appliances,T
Elit Pharetra Incorporated,63948574402,b,4.37,artist supply craft,E
Curabitur Consequat Lectus LLP,63948652504,b,3.7,health beauty spas,N
Non Limited,63952221889,c,1.94,gift card novelty souvenir,P
Tellus Consulting,63975991689,b,4.79,telecom,Q
In Tincidunt PC,63978837398,a,6.76,computer programming data processing integrated systems design,C
In Lobortis Limited,64033337945,b,3.67,lawn garden supply outlets including nurseries,W
Nec Metus LLP,64040663159,c,2.09,digital goods books movies music,F
Dictum Mi Corporation,64094501963,c,3.0,antique repairs restoration,R
Sed Auctor Associates,64112855512,c,1.78,computers computer peripheral equipment software,J
Nulla In Associates,64127544910,c,1.89,cable satellite pay television radio,K
Fusce Feugiat Associates,64143552561,a,5.88,jewelry watch clock silverware,A
A Inc.,64145901913,c,2.72,furniture home furnishings equipment manufacturers except appliances,T
Maecenas Corp.,64185141673,a,5.77,artist supply craft,E
Turpis Incorporated,64196096120,e,0.23,gift card novelty souvenir,P
Pede Nonummy Corp.,64203420245,c,2.86,tent awning,X
Pharetra Nibh Aliquam Foundation,64208631487,b,3.78,shoe,B
Vehicula Et LLC,64272336774,a,5.67,artist supply craft,E
Magna Malesuada Foundation,64278053738,a,6.46,books periodicals newspapers,G
Molestie Dapibus Industries,64295673283,c,1.61,music musical instruments pianos sheet music,M
Quisque Ac Libero LLP,64297965205,a,6.59,books periodicals newspapers,G
Eget Dictum Placerat Ltd,64384611134,c,2.59,digital goods books movies music,F
Lobortis Ultrices Company,64403598239,a,6.31,music musical instruments pianos sheet music,M
A LLC,64423487782,a,6.44,furniture home furnishings equipment manufacturers except appliances,T
Aliquam Enim Ltd,64431686132,a,6.55,motor vehicle new parts,H
Id Enim Institute,64435268766,c,2.89,bicycle,Y
Vitae Semper LLP,64464998822,b,4.31,motor vehicle new parts,H
Nunc Sed PC,64498959678,c,2.33,artist supply craft,E
Augue Sed Limited,64521628277,a,6.15,bicycle,Y
Sapien Nunc Pulvinar Foundation,64523396248,b,4.38,bicycle,Y
Magna Sed Eu Associates,64573039027,a,5.64,computer programming data processing integrated systems design,C
Tempus Eu Ligula Inc.,64581529554,e,0.33,computers computer peripheral equipment software,J
Vitae Erat Industries,64609388293,a,6.01,shoe,B
Lectus Sit Corp.,64638198267,a,5.68,computer programming data processing integrated systems design,C
Dictum Augue Consulting,64644843223,a,5.53,motor vehicle new parts,H
Nisl Maecenas LLC,64648788229,c,2.1,jewelry watch clock silverware,A
Vulputate Lacus Cras Ltd,64652625932,a,5.79,watch clock jewelry repair,V
Imperdiet Non Vestibulum Institute,64732735902,a,5.51,computer programming data processing integrated systems design,C
Luctus Curabitur Ltd,64821359458,a,6.77,furniture home furnishings equipment manufacturers except appliances,T
Arcu Imperdiet LLP,64859340118,a,6.49,gift card novelty souvenir,P
Sed Company,64928973842,e,0.41,computer programming data processing integrated systems design,C
Malesuada Fringilla Incorporated,64931596817,b,3.22,music musical instruments pianos sheet music,M
Cras Interdum Incorporated,64938910147,a,6.6,artist supply craft,E
Tincidunt Aliquam Industries,64941032224,a,6.11,stationery office printing writing paper,D
Orci Phasellus Dapibus Inc.,64953561005,a,6.66,books periodicals newspapers,G
Nibh Sit Amet Institute,64960464534,a,6.04,music musical instruments pianos sheet music,M
Consectetuer Adipiscing Elit LLC,64974914166,c,2.12,digital goods books movies music,F
Ultricies Ltd,65022194603,a,6.3,lawn garden supply outlets including nurseries,W
Sed Orci Lobortis Company,65027706740,c,2.37,equipment tool furniture appliance rent al leasing,S
Praesent Interdum Associates,65038094136,a,6.57,stationery office printing writing paper,D
Egestas Hendrerit Neque Institute,65122248893,c,1.97,antique repairs restoration,R
Elit Etiam Laoreet Foundation,65134002757,d,0.85,stationery office printing writing paper,D
Aliquam Iaculis Lacus LLC,65150917863,b,3.6,opticians optical goods eyeglasses,I
Malesuada Inc.,65161304947,b,4.97,opticians optical goods eyeglasses,I
Dui LLC,65168284301,b,4.98,jewelry watch clock silverware,A
Sed Leo Cras Industries,65175701530,a,5.64,furniture home furnishings equipment manufacturers except appliances,T
Sollicitudin Orci Incorporated,65189626072,a,6.55,lawn garden supply outlets including nurseries,W
Purus Nullam Incorporated,65202518558,a,6.27,shoe,B
Est Ac Mattis Ltd,65204103269,b,4.93,cable satellite pay television radio,K
Et Commodo LLP,65265226392,b,3.93,antique repairs restoration,R
Bibendum Fermentum LLP,65276790047,b,4.51,jewelry watch clock silverware,A
Sed Pede Cum Incorporated,65278963534,c,2.81,stationery office printing writing paper,D
Nunc LLP,65337745105,b,4.96,furniture home furnishings equipment manufacturers except appliances,T
Elementum Dui Limited,65345485504,b,4.25,cable satellite pay television radio,K
A Mi Fringilla PC,65401793264,b,3.78,music musical instruments pianos sheet music,M
Nulla Interdum Curabitur Institute,65415777658,c,1.72,art dealers galleries,L
Nisl Nulla Eu LLC,65426342453,b,3.53,florists nursery stock flowers,U
Mi Fringilla LLC,65452312369,c,1.69,health beauty spas,N
Vehicula Aliquet LLC,65453072511,d,0.88,computers computer peripheral equipment software,J
Vitae Velit LLC,65462135385,a,6.85,equipment tool furniture appliance rent al leasing,S
Nulla Cras Corporation,65527917790,a,6.84,bicycle,Y
Orci Luctus Inc.,65600957125,c,2.46,digital goods books movies music,F
Interdum Curabitur LLP,65629452396,c,2.98,watch clock jewelry repair,V
In Nec Industries,65668855732,a,6.67,cable satellite pay television radio,K
Aliquet Company,65674339048,c,2.13,digital goods books movies music,F
Duis Gravida PC,65731681830,b,4.44,gift card novelty souvenir,P
Vestibulum Ante Ipsum LLP,65735508037,b,3.43,florists nursery stock flowers,U
Adipiscing Elit Company,65739256790,c,3.01,artist supply craft,E
Tellus Faucibus Inc.,65741331791,b,4.22,digital goods books movies music,F
Penatibus Et Corporation,65892608066,b,3.88,computer programming data processing integrated systems design,C
Fringilla Porttitor Limited,65907027247,a,6.26,shoe,B
Semper Erat In PC,65925117805,b,4.09,furniture home furnishings equipment manufacturers except appliances,T
Lobortis Augue Ltd,65959377833,c,2.01,jewelry watch clock silverware,A
A Ultricies Ltd,66015997670,c,1.78,hobby toy game,O
Convallis Erat Eget Foundation,66030670083,b,3.58,books periodicals newspapers,G
Luctus Ut LLC,66034737896,b,4.43,watch clock jewelry repair,V
Nunc Sed LLP,66066213362,a,6.5,stationery office printing writing paper,D
Elementum At Ltd,66069111675,a,6.1,art dealers galleries,L
Hendrerit Corporation,66079287213,a,6.02,gift card novelty souvenir,P
Interdum LLC,66118124566,a,6.51,digital goods books movies music,F
Eu Dui Institute,66149479735,b,5.08,music musical instruments pianos sheet music,M
Morbi LLC,66161087361,b,4.71,stationery office printing writing paper,D
Sagittis Placerat LLP,66186109508,b,4.8,cable satellite pay television radio,K
Eros Proin Ultrices Ltd,66206584458,b,4.36,health beauty spas,N
Sed Hendrerit Foundation,66228393506,c,1.92,jewelry watch clock silverware,A
Ut Ipsum Incorporated,66236596240,c,2.43,tent awning,X
Sit Amet Foundation,66257020651,a,5.56,digital goods books movies music,F
Accumsan PC,66302484683,c,2.35,bicycle,Y
Integer Mollis Integer Inc.,66340635807,a,6.67,watch clock jewelry repair,V
Morbi Non PC,66370248931,b,3.15,cable satellite pay television radio,K
Lacinia Mattis Integer Associates,66416089484,c,2.19,shoe,B
Lorem Eu Corp.,66432686430,a,6.81,tent awning,X
Praesent Foundation,66445536477,a,6.93,watch clock jewelry repair,V
Mauris Erat Associates,66464469789,a,6.41,computers computer peripheral equipment software,J
Ut Nisi Ltd,66465228073,a,5.92,artist supply craft,E
Nonummy Ac Foundation,66482985683,b,4.1,equipment tool furniture appliance rent al leasing,S
Enim Sed Corp.,66499078575,c,2.84,lawn garden supply outlets including nurseries,W
Congue Turpis Limited,66522814831,b,4.34,art dealers galleries,L
Sem Egestas Inc.,66527348775,c,2.34,florists nursery stock flowers,U
Per Conubia LLC,66532942314,c,1.7,motor vehicle new parts,H
Cursus In Foundation,66567150019,b,3.52,digital goods books movies music,F
Volutpat Company,66571984047,b,4.69,cable satellite pay television radio,K
Faucibus Leo In PC,66601385949,b,3.26,artist supply craft,E
Nulla Inc.,66610548417,a,6.57,tent awning,X
In Magna Incorporated,66626020312,c,2.46,tent awning,X
Gravida Praesent Industries,66650274915,a,6.3,florists nursery stock flowers,U
Sit Amet Risus Foundation,66667026714,c,1.85,digital goods books movies music,F
Tempus Inc.,66672864977,a,5.95,computer programming data processing integrated systems design,C
Nulla Cras Eu Inc.,66678363248,a,5.59,motor vehicle new parts,H
Vulputate Posuere Vulputate Foundation,66678764219,b,4.47,shoe,B
Non Corp.,66690609706,c,2.52,music musical instruments pianos sheet music,M
Arcu Nunc Mauris Institute,66698569367,a,6.64,books periodicals newspapers,G
Aliquam Gravida Incorporated,66741987958,b,3.23,equipment tool furniture appliance rent al leasing,S
Eleifend Nec Institute,66748498849,c,1.47,telecom,Q
Aliquet Molestie Corp.,66759753333,a,6.78,digital goods books movies music,F
Nonummy Ac Incorporated,66760882355,b,4.9,cable satellite pay television radio,K
Dictum Ultricies Institute,66770522370,a,5.99,bicycle,Y
Nunc Corp.,66778711798,a,6.9,watch clock jewelry repair,V
In Scelerisque Inc.,66818634899,a,6.91,furniture home furnishings equipment manufacturers except appliances,T
Iaculis Nec Industries,66835892718,a,5.72,computer programming data processing integrated systems design,C
Ultrices Inc.,66842618444,a,6.93,shoe,B
Mollis Duis Sit Corporation,66858208767,b,3.46,gift card novelty souvenir,P
Elit Elit Fermentum Limited,66858882701,a,6.09,stationery office printing writing paper,D
Vulputate Velit Inc.,66917621463,a,5.61,shoe,B
Elementum Sem Vitae Corporation,66941458060,a,5.91,hobby toy game,O
Nisl Elementum Foundation,66943181420,a,6.08,computer programming data processing integrated systems design,C
Vitae Sodales Institute,66952421200,e,0.23,stationery office printing writing paper,D
Quam Curabitur Foundation,66979924731,b,3.11,opticians optical goods eyeglasses,I
Tristique Aliquet Phasellus Incorporated,66983698186,c,1.64,books periodicals newspapers,G
Pharetra Nibh Aliquam Consulting,67019805160,b,3.73,opticians optical goods eyeglasses,I
Pede Cum Inc.,67138995619,c,2.0,books periodicals newspapers,G
Aliquet Sem Ut PC,67142049268,a,6.32,opticians optical goods eyeglasses,I
Lacinia Vitae Sodales Inc.,67165527084,b,3.35,lawn garden supply outlets including nurseries,W
Eget Mollis Incorporated,67174003021,a,6.6,books periodicals newspapers,G
Lacus Etiam LLP,67178153348,c,1.67,music musical instruments pianos sheet music,M
Tempus Mauris Erat Foundation,67200153151,b,4.39,lawn garden supply outlets including nurseries,W
Venenatis Lacus Etiam Corporation,67212086728,b,4.18,digital goods books movies music,F
Gravida Nunc LLP,67213521157,b,4.57,jewelry watch clock silverware,A
Sodales Elit Incorporated,67216839360,b,3.82,stationery office printing writing paper,D
Habitant Morbi Foundation,67220823151,b,3.97,health beauty spas,N
Proin LLP,67223193770,b,5.01,lawn garden supply outlets including nurseries,W
Vehicula Industries,67244956961,a,6.08,health beauty spas,N
Elit Dictum Eu Foundation,67264251405,a,6.4,art dealers galleries,L
Eu Institute,67275686106,a,6.42,bicycle,Y
